"","Patid","mean_RPKM_1.19","mean_RPKM_20.29","Ratio20.29","mRNA_count","BRAF","NRAS","RSEM_normalized","ATI"
"194","TCGA-EE-A2M6",0.376034410876587,0.962910119867788,2.56069681927012,680,"V600E","NaN",70.6606,0
"195","TCGA-EE-A2M7",0.121196650102862,0.274378892816234,2.26391482424113,126,"V600E","NaN",16.943,0
"196","TCGA-EE-A2M8",0.337881841633574,0.994878270438194,2.94445616144451,430,"V600E","NaN",54.5164,0
"197","TCGA-EE-A2MC",0.00556401373355686,0.069361842706125,12.4661523187479,26,"NaN","Q61R",3.2141,0
"198","TCGA-EE-A2MD",0.167609878804233,0.639389077402259,3.81474577730028,340,"NaN","Q61R",33.9994,0
"199","TCGA-EE-A2ME",0.18694035242585,0.939804425531889,5.02729567659643,292,"V600K","NaN",54.6039,0
"200","TCGA-EE-A2MF",0.1503464749483,3.57697518101668,23.7915467073418,1310,"NaN","Q61K",135.4491,1
"201","TCGA-EE-A2MG",0.389065306919321,1.24798035886814,3.20763721841415,650,"V600E","NaN",79.3457,0
"202","TCGA-EE-A2MH",0.701346473115291,1.47812346313197,2.10755100338116,816,"V600E","NaN",103.142,0
"203","TCGA-EE-A2MI",1.6108522837117,2.72364882471759,1.69081228133582,2008,"NaN","NaN",219.754,0
"204","TCGA-EE-A2MJ",0.667226385693646,0.887565912424243,1.33023203436647,494,"NaN","NaN",64.224,0
"205","TCGA-EE-A2MK",2.15185473645436,5.39351042057909,2.50644726579734,2205,"V600E","NaN",293.3704,0
"206","TCGA-EE-A2ML",0.292160211549042,0.797929893401874,2.73113812853306,365,"NaN","Q61R",37.5616,0
"207","TCGA-EE-A2MM",0.816915694072178,3.96607553320945,4.85493859646554,1739,"NaN","Q61H",188.881,0
"208","TCGA-EE-A2MN",0.229078252750126,0.545898108562779,2.38302022129632,345,"NaN","Q61K",41.6846,0
"209","TCGA-EE-A2MP",0.546112897946479,4.06777964134168,7.44860569423932,1816,"V600E","NaN",202.6568,0
"210","TCGA-EE-A2MQ",1.27803912989341,4.31795891342506,3.37858115016023,1923,"P731S","NaN",227.9134,0
"211","TCGA-EE-A2MR",1.00762393192672,1.60997563890094,1.59779416495442,1185,"NaN","NaN",119.6023,0
"212","TCGA-EE-A2MS",6.18687278542686,11.1614102763061,1.80404715975359,6443,"NaN","NaN",830.3118,0
"213","TCGA-EE-A2MT",0.0979239724593757,4.00790219737234,40.9287133345723,1137,"NaN","NaN",174.7714,1
"214","TCGA-EE-A2MU",0.0100544114426389,2.96815997474854,295.209718806724,1004,"NaN","61_62QE>HK",132.319,1
